|date      |depot_code|depot_location      |transporter               |total_distance|percentage_empty|emptiness_var_cost|total_amount_wasted_per_transporter|transporter_type|contract_ref    |monthly_transporter_cost|
|2024-08-27|EB08      |Ladysmith           |Tanker Services Fuel      |351           |13.89           |4.646488          |765.45                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-09-05|EB08      |Ladysmith           |Tanker Services Fuel      |359           |1.72            |0.862752          |102.11                             |Secondary       |TNK-LAY-DIR-2022|474,936                 |
|2024-08-07|EA33      |Alrode              |Unitrans Supply Chain Sols|1,470         |18.65           |38.679552         |4,332.56                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-28|EA33      |Alrode              |Unitrans Supply Chain Sols|2,709         |10.96           |32.222016         |5,811.2                            |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-15|EA33      |Alrode              |Unitrans Supply Chain Sols|1,441         |19.62           |37.297152         |4,203.07                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-08-25|EB21      |Waltloo             |Makwande                  |714           |21.74           |15.578143         |2,071.74                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-21|EB06      |Island View Terminal|Tanker Services Fuel      |1,263         |12.1            |16.189976         |2,365.5                            |Secondary       |TNK-IVT-DIR-2022|2,216,366               |
|2024-10-27|EA35      |Bethlehem           |Unitrans Supply Chain Sols|267           |7.79            |5.389632          |309.29                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-09-13|EB21      |Waltloo             |Makwande                  |1,427         |11.61           |8.318565          |3,008.29                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-09-20|EA33      |Alrode              |Unitrans Supply Chain Sols|2,211         |7.47            |16.794432         |3,483.33                           |Secondary       |UNI-ALR-DIR-2022|2,883,961               |
|2024-10-10|EB21      |Waltloo             |Makwande                  |1,176         |18.56           |18.617536         |3,166.23                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-10-18|EB21      |Waltloo             |Makwande                  |2,608         |13.96           |34.012255         |4,700.76                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
|2024-08-03|EA35      |Bethlehem           |Unitrans Supply Chain Sols|228           |9.34            |4.845312          |319.21                             |Secondary       |UNI-BLM-DIR-2022|576,792                 |
|2024-08-06|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|1,050         |19.2            |26.547264         |2,798.02                           |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-10-17|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|822           |12.43           |12.894336         |2,545.82                           |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-08-16|EB39      |Klerksdorp          |Unitrans Supply Chain Sols|399           |11.35           |7.850304          |882.91                             |Secondary       |UNI-KPR-DIR-2022|576,792                 |
|2024-09-06|EB21      |Waltloo             |Makwande                  |3,814         |9.82            |43.666376         |5,334.13                           |Secondary       |MKW-WAO-DIR-2022|2,598,222               |
